,names.1,names.2,names.3,names.4,names.5,names.6,names.7,names.8,names.9,names.10,names.11,names.12,names.13,names.14,scores.1,scores.2,scores.3,scores.4,scores.5,scores.6,scores.7,scores.8,scores.9,scores.10,scores.11,scores.12,scores.13,scores.14
15,Tra2b,Zim1,Tshz2,Pantr1,Osr1,Plaat3,Pdcd4,1500009L16Rik,Pkdcc,Rev3l,Hist1h3b,Prr16,Des,Plvap,0.000689533571328781,0.0104530154288241,0.00191957074992053,0.0029280957899222,0.00234032444111031,0.00140960226196406,0.0012156006429958,0.000449750442604406,0.00102343530314818,0.000493945128493046,0.000767556260011115,0.00039930856435264,0.0109623840380767,0.174814191082995
16,Mdk,Fst,Msx2,Efnb2,Slit2,Samd5,Axin2,Prdm16,Dusp6,Unc5c,Hist1h2bn,Dusp6,Gfra1,Vamp5,0.000680877236562065,0.00911978789380106,0.00179330963781802,0.00269026302137336,0.00232074044823182,0.00140525356955008,0.00103222517289456,0.000445856225876555,0.000998785946387643,0.00047538428925685,0.000760162688647115,0.000352508145505973,0.00915918279077458,0.166574592969626
17,Mest,Satb2,Hand2os1,Bmpr1b,Lsp1,Wnt5a,Mgst1,Angptl1,Plxna2,Nr2f2,Hist1h4d,Tbx3,Epcam,Pecam1,0.000680641698256229,0.00906145722975412,0.00172664433574774,0.00252002232335388,0.00217902893480802,0.00138022174346467,0.000995303352538698,0.000443333976079075,0.000863748704358323,0.000458560813288935,0.000703439572425337,0.000334379976574446,0.00487768994304049,0.14683467038103
18,Fus,9130024F11Rik,Nrp2,Foxd1,Gxylt2,Prrx2,Fign,Mir100hg,Zmat4,Lbh,Hist1h2an,Neil3,Isl1,Lmo2,0.000662629917121187,0.00861906515004052,0.00156746649899609,0.0024590058393405,0.00210081889301063,0.0012445695455023,0.000993292129806805,0.000441745026928427,0.000822802908357282,0.000449719445829203,0.000687506176272061,0.000308391666925748,0.00314530899372598,0.144385780863295
19,Ndufc2,Phactr2,Hand2,Pcdh19,2210408I21Rik,Lhx8,Tmem132c,Pcsk5,Six2,Cxcl12,Hist1h2ab,Enpp2,Ncald,Rasgrp2,0.000660037762075547,0.0084917838798168,0.00146846807630552,0.00234759005633693,0.0019815947243014,0.00121732372482291,0.000986572578550353,0.000402297804929218,0.000812932242625793,0.000402507487065788,0.000662464810656723,0.0003076672172169,0.00261230807899152,0.10046090683699
20,Sox11,Pmp22,Lrrc17,Tmtc2,Slc16a2,Tbx3,Adamts19,Eya4,Scx,C430049B03Rik,Hist1h2bh,Msx1,Hhip,Anxa3,0.000657698536351905,0.00779588482558556,0.00142413278051633,0.00229297904947845,0.00191568785704207,0.00115984581432693,0.000966479273315472,0.000399239669883105,0.000685472547998295,0.000345263207491836,0.000642040502733792,0.000302221746296879,0.00231030730998858,0.0975229540503493
21,Prpf4b,Itm2a,Msx1,Foxc2,Cask,AI606473,Crnde,Hs6st2,Cd47,Pbx1,Hist1h2ak,Adgrl2,Klhl13,Itga1,0.000650835617881443,0.00778161254855527,0.00136751639620481,0.00219302496438694,0.00190867808993779,0.00115134341596021,0.000907839922181414,0.000395297947861383,0.000673745655415723,0.000336054628226072,0.000629921171187579,0.000282560257110157,0.00223920277450158,0.0934544175987314
22,Taf1d,Adam23,Prrx2,Sox9,Fez1,Slitrk6,Nr2f1,Usp29,Ramp2,Aldh1a2,Hist1h2ad,Kif21a,Shisa2,S1pr1,0.000649702256055751,0.00691495995478892,0.00134932699572268,0.00218484015609471,0.00165115182320199,0.00112686975923257,0.000892638903814079,0.000393337448240823,0.000632232579204765,0.000312916574407066,0.000629834772684663,0.00025059008114674,0.00213372422621629,0.0750407780466704
23,Vcan,Ndn,Creb5,Dlx3,Tcf7l2,Runx2,Klf4,Pcbd2,Ptch1,Zadh2,Hist1h3f,Gm43376,Pcolce2,Elmo1,0.000645399985711283,0.00672085633263829,0.00134899585459101,0.00207881113400721,0.00160015356049642,0.00111803640634484,0.000796230213524788,0.000381678038165445,0.000632028031729967,0.000297229387004913,0.000607355449452848,0.000246107451628079,0.0016253006464662,0.0522242112402867
24,Slc38a2,Usp29,Unc5c,Pcdh10,Trps1,Bambi,Nr2f2,Fbln2,Lhx6,Klf3,Hist2h2aa1,Etv1,Pdlim1,Tmem255a,0.000645347334035562,0.00564039713798977,0.00132305000167918,0.00194089362112016,0.00159948102191304,0.00107255806591801,0.000728525737588219,0.000372125261051531,0.000631768615283558,0.000293079045068906,0.000560359404325858,0.000245823627369367,0.00151555807661379,0.0423639238826307
