,x
1662,Numa1
1663,Nop14
1664,Rnf219
1665,Lyrm2
1666,Zzz3
1667,Sfrp2
1668,Pkdcc
1669,Fli1
1670,Elof1
1671,Col23a1
1672,Kif20b
1673,Dhx40
1674,Chmp3
1675,Rev3l
1676,Meis1
1677,Cxcl12
1678,Sema6a
1679,Ebf3
1680,Plod2
1681,Sfrp1
1682,Epha7
1683,Zfp322a
1684,Kit
1685,0610010K14Rik
1686,Mpc2
1687,Hist1h1a
1688,Hist1h1d
1689,Hist2h2ac
1690,Aurkb
1691,Fam111a
1692,Blm
1693,Dhfr
1694,Gps2
1695,Nelfe
1696,Chaf1a
1697,Ddx27
1698,Esco2
1699,Cep295
1700,Rad51ap1
1701,Knl1
1702,Pola1
1703,Ipo5
1704,Dleu2
1705,Hist1h2bm
1706,Hist1h3e
1707,Ccne2
1708,Slitrk6
1709,Dusp6
1710,Lhx6
1711,Gng2
1712,Eya1
1713,Etv1
1714,Bex4
1715,Idi1
1716,Ddx39
1717,Ipo7
1718,Srm
1719,Ssr4
1720,Tma16
1721,Mpp6
1722,Pum3
1723,Tmem131l
1724,Bex1
1725,Las1l
1726,Cbr1
1727,Six1
1728,Znrd2
1729,Ywhag
1730,Fam92a
1731,Igfbp5
1732,Igfbp2
1733,Cadm1
1734,Cux1
1735,Pcbp4
1736,Parm1
1737,Zfp704
1738,Pfn2
1739,Gprasp1
1740,Gkap1
1741,Larp4
1742,Elp1
1743,Hs6st2
1744,Slf2
1745,Acta2
1746,Arpc5l
1747,Dst
1748,Ubtd2
1749,Snhg3
1750,Arl5a
1751,Sparc
1752,Cisd1
1753,Tnpo3
1754,Mef2a
1755,Bnip2
1756,Atf4
1757,Rpf2
1758,Lta4h
1759,Akap8
1760,Lrrc58
1761,Rtcb
1762,Picalm
1763,March7
1764,Nmral1
1765,Aco2
1766,Mycbp
1767,Impa1
1768,Timp3
1769,Col4a2
1770,Msn
1771,Myh9
1772,Actr2
1773,Cdh5
1774,Nes
1775,Elk3
1776,Ppic
1777,Ptbp3
1778,Rock2
1779,Lamp1
1780,Wasf2
1781,Myo18a
1782,Anxa2
1783,Ets1
1784,Nid1
1785,Itga6
1786,Col18a1
1787,Rap1b
1788,Ap2s1
1789,Adam10
1790,Anxa5
1791,Cd2ap
1792,Akap12
1793,Aplp2
1794,Atp1b3
1795,Rbpms
1796,Ccdc85b
1797,Rab1a
1798,Cd34
1799,Chmp2a
1800,Abcg2
1801,Tmbim6
1802,Bcap31
1803,Abhd17a
1804,Dock1
1805,Tjp1
1806,Emcn
1807,Ppp1r2
1808,Mbnl2
1809,Pcdh17
1810,Spag9
1811,Iqgap1
1812,Arpc4
1813,Rhob
1814,Nrp1
1815,Wdr1
1816,Arhgap29
1817,Tmod3
1818,Arcn1
1819,Glud1
1820,Map4
1821,Rab11a
1822,Jak1
1823,S100a16
1824,Nrp2
1825,Igf2r
1826,0610012G03Rik
1827,Pecam1
1828,Lrrc59
1829,AI506816
1830,Capza1
1831,Plekho1
1832,Egfl7
1833,Pls3
1834,Ube2a
1835,Cuedc2
1836,Dnajb11
1837,Ramp2
1838,Igfbp3
1839,Ddost
1840,Sptan1
1841,Cemip2
1842,Dph3
1843,Crip2
1844,Lamb1
1845,Ubald2
1846,Galk1
1847,Pitpna
1848,Bcl10
1849,Nras
1850,Cnih4
1851,Raph1
1852,Ufc1
1853,Atp6v0e
1854,Baz1a
1855,Arhgap18
1856,Mob1a
1857,Mbnl1
1858,Ipo11
1859,F2r
1860,Rasa1
1861,Larp4b
1862,Acly
1863,Ankrd49
1864,Klf7
1865,Reep5
1866,Dip2b
1867,Otulin
1868,Sh3bp5
1869,Fyn
1870,Plvap
1871,Sec13
1872,Tmem165
1873,Rhoc
1874,Atp1a1
1875,Dars
1876,Pja2
1877,Fam49b
1878,Jmjd1c
1879,Ilk
1880,Capns1
1881,Med8
1882,Cdc42se1
1883,Copa
1884,Mob4
1885,Ptk2
1886,Dnajc3
1887,Mycbp2
1888,Mprip
1889,Lama4
1890,Ccdc12
1891,Cope
1892,Hras
1893,Dennd5b
1894,Abcf2
