,x
395,Nr2f1
396,Cdh11
397,Tia1
398,Nop56
399,Eif3m
400,Eif1ax
401,Pgam1
402,Mrfap1
403,Dctn4
404,Ccar1
405,Ythdc1
406,G3bp2
407,Ewsr1
408,Gja1
409,Flna
410,Ndufb8
411,Magoh
412,Srsf6
413,Bptf
414,Kdm1a
415,Rfc3
416,Ncor1
417,Ube2k
418,Ddx1
419,Chd3
420,Rtn4
421,Id3
422,Crabp2
423,Nr2f2
424,Fam133b
425,Ddx18
426,Sms
427,Ptov1
428,Nudcd3
429,Pcna
430,Cycs
431,Dnmt1
432,Cct4
433,Smarca4
434,Ubxn1
435,Lpar1
436,Myef2
437,Snw1
438,Slc25a5
439,Lmnb1
440,Polr2k
441,Srsf5
442,Glrx3
443,Mfap2
444,Ddx24
445,Crabp1
446,Psmb4
447,Ndufb7
448,Ppig
449,Zmat2
450,Thoc1
451,Cks2
452,Esf1
453,Banf1
454,Psmb2
455,Macf1
456,Swi5
457,Zfp266
458,Ssrp1
459,Wbp11
460,Tmem167
461,Parp1
462,Eml4
463,Nsd1
464,Cebpz
465,C1qbp
466,Hdac2
467,Aamp
468,Hells
469,Uqcc2
470,Zfp207
471,Bcl11a
472,D8Ertd738e
473,Tecr
474,Ddx46
475,Clk1
476,Manf
477,Rcn2
478,Psma1
479,Smc6
480,P4hb
481,Ssbp1
482,Psmb5
483,Snrpb2
484,Sinhcaf
485,Psma5
486,Tm9sf3
487,Gsk3b
488,Gas1
489,Snrpc
490,Qk
491,Pafah1b1
492,H2afx
493,Srsf9
494,Gpx4
495,Gtf2h5
496,Cpsf6
497,Tsc22d1
498,Ppp1cc
499,Nap1l4
500,Tpi1
501,Kif5b
502,Zcrb1
503,Psmd2
504,Gspt1
505,Sltm
506,Brd7
507,Ube2e3
508,Pa2g4
509,Ndufb5
510,Ddx3x
511,Denr
512,Rwdd1
513,Itgb1
514,Pcm1
515,Tmed10
516,Rrm2
517,Zfp706
518,Fzd2
519,Id2
520,Cox6a1
521,Dnm3os
522,Nars
523,E2f3
524,Dynlrb1
525,Fbln1
526,Brd8
527,Mat2a
528,Ywhah
529,Nusap1
530,Prdx6
531,Acp1
532,Fkbp1a
533,Arf1
534,Tax1bp1
535,Slbp
536,Polr2f
537,Lsm6
538,Map4k4
539,Pkn2
540,Smc4
541,Ckap5
542,Ik
543,Eif1b
544,U2af2
545,Atad2
546,Tcea1
547,Tead2
548,Cnn3
549,Sars
550,Ube2c
551,Lyar
552,Tsn
553,Ube2l3
554,Phf5a
555,Ndufs6
556,Gtf3c6
557,Utp11
558,Nsd2
559,Rian
560,Vdac1
561,Lsm4
562,Phf14
563,Gpc6
564,Ostc
565,Celf1
566,Snhg1
567,Wdr43
568,Siva1
569,Igf2bp1
570,Adnp
571,Eloc
572,Lsm7
573,Mdh2
574,Sod1
575,Timm8b
576,Larp7
577,Ndufb11
578,Dtymk
579,Dnaja2
580,Hist1h2ap
581,Gdi2
582,Birc5
583,1110038B12Rik
584,Krtcap2
585,Ldhb
586,Enah
587,Tkt
588,Lsm3
589,Rnd3
590,Ndufa11
591,Bsg
592,Ube2b
593,Ap2a2
594,Zfp91
595,Hmg20b
596,Rbmxl1
597,Wls
598,Eprs
599,Hnrnph3
600,Sept11
601,Strbp
602,Fbn2
603,Yeats4
604,Rhoa
605,Ndufa5
606,Ctcf
607,Pgls
608,Arhgap5
609,Vdac3
610,Bri3
611,Ndufa6
612,Snx6
613,Dctpp1
614,Ptp4a2
615,Gm26917
616,Gmps
617,Slc38a1
618,Ndufa10
619,Tnks2
620,B230219D22Rik
621,Stag1
622,Stip1
623,Usp34
624,Sf3b5
625,Dcun1d5
626,Nipbl
627,Arf4
628,Psmd6
629,Gpatch8
630,Ube2r2
631,Kdm5b
632,Gpx1
633,Gstm5
634,Slirp
635,Ppp2ca
636,Rrm1
637,Rpgrip1
638,Xpo1
639,Psmc5
640,Tmem258
641,Dicer1
642,Eif3i
643,Idh2
644,Gnl3
645,Tspan3
646,Paics
647,Pdgfra
648,Ctnna1
649,Cdc5l
650,Sf3b3
651,Trir
652,Rbm28
653,Bola2
654,Snrpa1
655,Dbn1
656,Fbl
657,Setd5
658,Wdr61
659,Cops9
660,Ndufb4
661,Rbm26
662,Supt5
663,Hdgfl3
664,Tubb4b
665,Mbd3
666,Srp19
667,Erh
668,Akap9
669,Smchd1
670,Zfp292
671,Gabarap
672,Lars2
673,Psma6
674,Igf1r
675,Igf2bp2
676,Rif1
677,Psmd12
678,Aprt
679,Arid1a
680,Cenpe
681,Raly
682,Mcm3
683,Arid4b
684,Zc3h13
685,Rnaseh2c
686,Selenok
687,Cdk2ap1
688,Cenpa
689,Casp8ap2
690,Rbm5
691,Mdh1
692,Ppa1
693,Rbm22
694,Cdh2
695,Phb2
696,Bms1
697,Nolc1
698,Akr1a1
699,Tpx2
700,Arpc2
701,Pitx1
702,Dnajc2
703,Rsrc1
704,Mapre1
705,Tmco1
706,Smdt1
707,Immt
708,Cnot1
709,Zfp644
710,Gm47283
711,Mybbp1a
712,Tnrc6c
713,Ssr3
714,Cetn3
715,Mab21l2
716,Ccdc88a
717,Ppdpf
718,Ddx50
719,Ilf3
720,Ap2b1
721,Impdh2
722,Gnb2
723,Rbbp6
724,Jpt1
725,Id1
726,Cenph
727,Cfl2
728,Cops6
729,Nfib
730,Rab14
731,Eif4e2
732,Psmd1
733,Nsrp1
734,Utp3
735,Rbm17
736,Dpy30
737,Rnf7
738,Polr2i
739,Fscn1
740,Mtch1
741,Nol7
742,Npc2
743,Tsix
744,Txnl1
745,Wbp4
746,Gtpbp4
747,Nfe2l1
748,Rars
749,Brd1
750,Polr1d
751,Ndufa1
752,H1fx
753,Fip1l1
754,2410006H16Rik
755,Hmgcs1
756,Tmem256
757,Cdca8
758,Sf1
759,Prpf38b
760,Ppid
761,Papola
762,Bag1
763,Polr2j
764,Dpysl2
765,Chchd1
766,Laptm4a
767,Zfp36l1
768,Atp6v1e1
769,Vapa
770,Zmiz1
771,Mettl9
772,Timm13
773,Lsm2
774,Esd
775,Brd9
776,Cdk11b
777,Ndufv2
778,Odc1
779,Orc6
780,Ube3a
781,Arf5
782,Capzb
783,Zfp664
784,Msi2
785,Txndc17
786,Mtf2
787,Fstl1
788,Vezf1
789,Cwc15
790,Calm3
791,Usp14
792,Ssr1
793,Hdlbp
794,Slc39a10
795,Kpnb1
796,Hsd17b10
797,Nrep
798,Tmed9
799,Gmnn
800,Mier1
801,Kifap3
802,Cetn2
803,Cdc26
804,Rad21
805,Dad1
806,Ruvbl1
807,Ivns1abp
808,Pfdn2
809,Tbcb
810,Gtf2i
811,Cops5
812,Cox17
813,Col2a1
814,Zfp462
815,Tgs1
816,Runx1t1
817,H1f0
818,Tceal8
819,Bcl7a
820,Srpk1
821,Pafah1b3
822,Naa15
823,Hmcn1
824,Safb
825,Luc7l
826,Anapc13
827,Lsm8
828,Fzd3
829,Cnpy2
830,Ndufb2
831,Ube2d2a
832,Sec11a
833,Smarcad1
834,Vdac2
835,Eif4a3
836,Ash1l
837,Zfp638
838,Aqr
839,Cd81
840,Tsc22d4
841,Syne2
842,Trp53
843,Itm2a
844,Drap1
845,Myl12a
846,Hjurp
847,Psmb7
848,Nt5dc2
849,Ythdf2
850,Prrc2b
851,Srp9
852,Pbdc1
853,Btg1
854,Gjc1
855,Txlna
856,Birc6
857,Atxn10
858,Cyc1
859,Uqcrc1
860,Usp1
861,Adgrl2
862,Epha4
863,Emd
864,Sf3a3
865,Rab2a
866,Wnk1
867,Fn1
868,Rsrp1
869,Trmt112
870,Tcerg1
871,Brd4
872,Zfp326
873,Ndufb3
874,Map2k2
875,Elavl1
876,Phgdh
877,Ehmt1
878,Atox1
879,Tyms
880,Eif4e
881,Ndufv3
882,Mfap4
883,Hmgcr
884,Smarcb1
885,Actl6a
886,Smn1
887,Nsmce4a
888,Tcf25
889,Rbpj
890,R3hdm1
891,Sugt1
892,Epb41
893,Chd6
894,Ncbp2
895,Ndufb10
896,Nudcd2
897,Igf2bp3
898,Nudt5
899,Pak2
900,Kpna3
901,Selenow
902,Usp29
903,Sulf2
904,Ubtf
905,Nudt21
906,N4bp2l2
907,Srp14
908,Msantd4
909,Senp6
910,Sbno1
911,Dbf4
912,Phactr4
913,Srek1
914,Cnot6
915,Smarcd1
916,Mphosph8
917,Nhp2
918,Scand1
919,Yme1l1
920,Thoc2
921,Lman1
922,Micos13
923,Dync1h1
924,Rsf1
925,Snhg8
926,Fndc3c1
927,Rest
928,Ndn
929,Cox7a2l
930,Trps1
931,Cspp1
932,Cdca7
933,Ddx42
934,Taldo1
935,Crebbp
936,Hif1a
937,Atp2b1
938,Rrp1
939,Srpk2
940,Zmynd8
941,Ccdc50
942,Prkar1a
943,Ckap4
944,Rac1
945,Yy1
946,Timm44
947,Taf15
948,Tcof1
949,Psmd11
950,Txnrd1
951,Tcf3
952,Pds5a
953,Cpxm1
954,Tomm6
955,Bnip3l
956,Anapc5
957,Zfand5
958,Hmgn5
959,Cwf19l2
960,Eif4h
961,Tead1
962,Ankrd17
963,Upf2
964,Etfb
965,Sdhb
966,Atp6v1g1
967,Ndufs2
968,Ssbp2
969,Lima1
970,Bub3
971,Znhit1
972,Glyr1
973,Dtl
974,Mcm6
975,Ndufs4
976,Cul1
977,Pcnp
978,N4bp2
979,Pin4
980,Uchl3
981,Nvl
982,Wdr70
983,Uqcrfs1
984,Cisd2
985,Ctdspl2
986,Timm23
987,Ctsl
988,Dnajc7
989,Clic4
990,Dcakd
991,Mapk1ip1l
992,Magt1
993,Eif3g
994,Emg1
995,Tmed2
996,Rfc4
997,Atp2a2
998,Tdg
999,Zfp280d
1000,Psmd8
1001,Arl3
1002,Tacc3
1003,Ppp1cb
1004,Mtrex
1005,Ubap2
1006,Tomm22
1007,Polr2e
1008,Kmt5a
1009,Tmem234
1010,Selenof
1011,Chmp4b
1012,Trpm7
1013,Cped1
1014,Ppp4r3a
1015,Ndufs7
1016,Wdr33
1017,Brd2
1018,Eif3d
1019,Ptbp1
1020,Bod1l
1021,Kmt2e
1022,Pum2
1023,Dnmt3a
1024,Fis1
1025,Flrt3
1026,Tnrc6b
1027,Mex3a
1028,Smap1
1029,Hes1
1030,Prpf8
1031,Acsl3
1032,Prdx4
1033,Tex10
1034,Hpf1
1035,Prc1
1036,Rad23b
1037,2900097C17Rik
1038,Phldb2
1039,Stag2
1040,Klhl9
1041,Eif3l
1042,Maged2
1043,Cggbp1
1044,Gars
1045,Ubxn4
1046,Fgfr1
1047,Limd2
1048,Tbl1x
1049,Spcs1
1050,Sptbn1
1051,Clns1a
1052,Fam104a
1053,Mkln1
1054,Tab2
1055,Svbp
1056,Capn6
1057,Taf10
1058,Sae1
1059,Capza2
1060,Psmc2
1061,Phf6
1062,Midn
1063,Kdelr2
1064,Itch
1065,Pnrc1
1066,Eif3b
1067,Tulp4
1068,Pwwp3a
1069,Hsbp1
1070,Uhrf1
1071,Cdk1
1072,Zfp422
1073,Ppp4r2
1074,Mpped2
1075,Kmt2a
1076,Srrt
1077,Ptprs
1078,Calu
1079,Ctbp1
1080,Clint1
1081,Ranbp2
1082,Hmgn3
1083,Ube2n
1084,Bcl7c
1085,Higd1a
1086,Amot
1087,Klhdc2
1088,Uba2
1089,C1d
1090,Eif4g3
1091,Ndufb6
1092,Pafah1b2
1093,Ralgps2
1094,Col9a1
1095,Kif2a
1096,Mecom
1097,Tmem14c
1098,Ssr2
1099,Psme1
1100,Gcc2
1101,Topbp1
1102,Aifm1
1103,Prim1
1104,Mlec
1105,Mcl1
1106,Gatad2b
1107,Wac
1108,Pfdn6
1109,Ccdc59
1110,Hdac1
1111,Cul3
1112,Golgb1
1113,Alkbh1
1114,Abce1
1115,Col11a1
1116,Trim59
1117,Tbrg1
1118,1810058I24Rik
1119,Ssu72
1120,Adh5
1121,Dynll2
1122,Cdc123
1123,Pdcd11
1124,Mcm4
1125,Ptch1
1126,Fam162a
1127,Pdhb
1128,Gpbp1
1129,Rnf10
1130,Prrc2a
1131,Phf20l1
1132,Clmp
1133,Map1lc3b
