Hes1
Cadm1
Tgfb2
Coro1a
Gpx1
Mdk
Hmgb2
Col4a1
Col4a2
Fabp5
Meis2
Itm2a
Col3a1
Gas5
Tpm3
Arid5a
Cebpb
Dusp1
Dusp8
Fos
Fosb
Id3
Irf1
Irf8
Jun
Junb
Jund
Klf2
Klf4
Klf6
Klf9
Stat3
